  === Zero Test === 
      1 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
   1023 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
   2047 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
   4095 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
      7 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
     15 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
     31 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
     63 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
    127 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
    255 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
    511 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
   1023 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
   2047 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
   4095 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
      7 MiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
  === Random Test === 
      1 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
      3 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
      7 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
     15 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
     31 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
     63 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
    127 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
    255 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
    511 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
   1023 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
   2047 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
   4095 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
      7 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
     15 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
     31 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
     63 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
    127 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
    255 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
    511 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
   1023 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
   2047 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
   4095 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
      7 MiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |

  === Performance Test (total runtime in 1000 TSC clocks) === 
   Method: |HWPopCnt     |VPopCntHSW   |VPopCntSKXYMM|VPopCntKNL   |VPopCntSKX   |VPopCntCNL   | No_VPopCntKNM   | No_VPopCntICL   |
   RDTSCP  |           36|           56|           38|           40|           40|           44| No_VPOPCNTDQ    | No_BITALG       |
     64 B  |      0.046 *|      0.064  |      0.052  |      0.060  |      0.050  |      0.056  | No_VPOPCNTDQ    | No_BITALG       |
     96 B  |      0.046 *|      0.062  |      0.054  |      0.064  |      0.058  |      0.064  | No_VPOPCNTDQ    | No_BITALG       |
    128 B  |      0.052 *|      0.068  |      0.052 *|      0.074  |      0.056  |      0.058  | No_VPOPCNTDQ    | No_BITALG       |
    192 B  |      0.058 *|      0.076  |      0.062  |      0.084  |      0.060  |      0.062  | No_VPOPCNTDQ    | No_BITALG       |
    256 B  |      0.064  |      0.086  |      0.068  |      0.090  |      0.062  |      0.060 *| No_VPOPCNTDQ    | No_BITALG       |
    384 B  |      0.080  |      0.100  |      0.078  |      0.110  |      0.068 *|      0.086  | No_VPOPCNTDQ    | No_BITALG       |
    512 B  |      0.098  |      0.090  |      0.072 *|      0.128  |      0.074  |      0.086  | No_VPOPCNTDQ    | No_BITALG       |
    768 B  |      0.132  |      0.112  |      0.098  |      0.170  |      0.092 *|      0.092 *| No_VPOPCNTDQ    | No_BITALG       |
   1024 B  |      0.164  |      0.122  |      0.090  |      0.118  |      0.084  |      0.082 *| No_VPOPCNTDQ    | No_BITALG       |
   1536 B  |      0.226  |      0.152  |      0.108 *|      0.194  |      0.114  |      0.108 *| No_VPOPCNTDQ    | No_BITALG       |
   2048 B  |      0.294  |      0.188  |      0.166  |      0.142  |      0.104  |      0.100 *| No_VPOPCNTDQ    | No_BITALG       |
   3072 B  |      0.424  |      0.254  |      0.212  |      0.168  |      0.124 *|      0.124 *| No_VPOPCNTDQ    | No_BITALG       |
      4 KiB|      0.552  |      0.324  |      0.240  |      0.220  |      0.178  |      0.174 *| No_VPOPCNTDQ    | No_BITALG       |
      6 KiB|      0.808  |      0.452  |      0.306  |      0.312  |      0.234 *|      0.246  | No_VPOPCNTDQ    | No_BITALG       |
      8 KiB|      1.066  |      0.582  |      0.372  |      0.308  |      0.252 *|      0.254  | No_VPOPCNTDQ    | No_BITALG       |
     12 KiB|      1.582  |      0.860  |      0.506  |      0.376  |      0.318  |      0.316 *| No_VPOPCNTDQ    | No_BITALG       |
     16 KiB|      2.090  |      1.108  |      0.638  |      0.454  |      0.386 *|      0.386 *| No_VPOPCNTDQ    | No_BITALG       |
     24 KiB|      3.130  |      1.638  |      0.902  |      0.596  |      0.524 *|      0.528  | No_VPOPCNTDQ    | No_BITALG       |
     32 KiB|      4.154  |      2.190  |      1.168  |      0.750  |      0.662 *|      0.670  | No_VPOPCNTDQ    | No_BITALG       |
     48 KiB|      6.212  |      3.244  |      1.846  |      1.530  |      1.454 *|      1.478  | No_VPOPCNTDQ    | No_BITALG       |
     64 KiB|      8.268  |      4.312  |      2.422  |      2.252  |      2.124  |      2.094 *| No_VPOPCNTDQ    | No_BITALG       |
     96 KiB|     12.384  |      6.428  |      3.630  |      3.118  |      3.004  |      2.994 *| No_VPOPCNTDQ    | No_BITALG       |
    128 KiB|     16.500  |      8.564  |      4.802  |      4.344  |      4.078  |      4.052 *| No_VPOPCNTDQ    | No_BITALG       |
    192 KiB|     24.732  |     12.864  |      6.924  |      5.546  |      5.284  |      5.224 *| No_VPOPCNTDQ    | No_BITALG       |
    256 KiB|     32.988  |     17.118  |      9.172  |      7.174  |      6.844 *|      6.944  | No_VPOPCNTDQ    | No_BITALG       |
    384 KiB|     50.862  |     26.862  |     20.758 *|     21.970  |     21.626  |     21.658  | No_VPOPCNTDQ    | No_BITALG       |
    512 KiB|     67.890  |     36.316  |     28.392 *|     30.294  |     29.794  |     29.778  | No_VPOPCNTDQ    | No_BITALG       |
    768 KiB|    101.694  |     54.528  |     42.660 *|     45.462  |     44.686  |     44.622  | No_VPOPCNTDQ    | No_BITALG       |
   1024 KiB|    135.630  |     72.544  |     56.612 *|     60.738  |     59.544  |     59.640  | No_VPOPCNTDQ    | No_BITALG       |
   1536 KiB|    203.458  |    109.012  |     84.912 *|     90.944  |     89.314  |     89.618  | No_VPOPCNTDQ    | No_BITALG       |
   2048 KiB|    271.268  |    145.276  |    113.790 *|    121.364  |    119.178  |    119.522  | No_VPOPCNTDQ    | No_BITALG       |
   3072 KiB|    427.288  |    244.948  |    193.788 *|    205.008  |    198.470  |    199.116  | No_VPOPCNTDQ    | No_BITALG       |
      4 MiB|    654.280  |    466.476  |    376.052 *|    396.158  |    381.662  |    381.292  | No_VPOPCNTDQ    | No_BITALG       |
      6 MiB|   1112.688  |    913.556  |    775.250  |    731.996  |    717.818  |    709.762 *| No_VPOPCNTDQ    | No_BITALG       |
      8 MiB|   1534.638  |   1350.950  |   1173.242  |   1076.470  |   1060.996  |   1055.364 *| No_VPOPCNTDQ    | No_BITALG       |
     12 MiB|   2500.726  |   2260.526  |   2001.200  |   1801.106  |   1772.594 *|   1781.700  | No_VPOPCNTDQ    | No_BITALG       |
     16 MiB|   3368.432  |   3065.974  |   2753.510  |   2457.858  |   2472.194  |   2445.322 *| No_VPOPCNTDQ    | No_BITALG       |
     24 MiB|   5084.318  |   4700.828  |   4256.278  |   3826.144  |   3802.768  |   3797.630 *| No_VPOPCNTDQ    | No_BITALG       |
     32 MiB|   6848.394  |   6338.862  |   5846.898  |   5268.346  |   5749.102  |   5199.112 *| No_VPOPCNTDQ    | No_BITALG       |
     48 MiB|  10296.738  |   9694.132  |   8820.508  |   7914.184  |   7904.390  |   7882.986 *| No_VPOPCNTDQ    | No_BITALG       |
     64 MiB|  13782.908  |  12901.780  |  11787.156  |  10559.506 *|  10603.008  |  10588.192  | No_VPOPCNTDQ    | No_BITALG       |
     96 MiB|  20706.654  |  19420.312  |  17807.666  |  15957.544  |  15953.342 *|  16001.216  | No_VPOPCNTDQ    | No_BITALG       |
    128 MiB|  27654.360  |  25990.732  |  23814.738  |  21359.972  |  21401.762  |  21346.304 *| No_VPOPCNTDQ    | No_BITALG       |
    192 MiB|  41451.086  |  39183.356  |  35916.420  |  32127.548 *|  32139.128  |  32136.380  | No_VPOPCNTDQ    | No_BITALG       |
    256 MiB|  55307.194  |  52303.076  |  47922.214  |  42938.976  |  42976.838  |  42882.904 *| No_VPOPCNTDQ    | No_BITALG       |
  === Performance Test (in bytes per TSC clks) === 
   Method: |HWPopCnt     |VPopCntHSW   |VPopCntSKXYMM|VPopCntKNL   |VPopCntSKX   |VPopCntCNL   | No_VPopCntKNM   | No_VPopCntICL   |
   RDTSCP  |           36|           56|           38|           40|           40|           44| No_VPOPCNTDQ    | No_BITALG       |
     64 B  |      1.391 *|      1.000  |      1.231  |      1.067  |      1.280  |      1.143  | No_VPOPCNTDQ    | No_BITALG       |
     96 B  |      2.087 *|      1.548  |      1.778  |      1.500  |      1.655  |      1.500  | No_VPOPCNTDQ    | No_BITALG       |
    128 B  |      2.462 *|      1.882  |      2.462 *|      1.730  |      2.286  |      2.207  | No_VPOPCNTDQ    | No_BITALG       |
    192 B  |      3.310 *|      2.526  |      3.097  |      2.286  |      3.200  |      3.097  | No_VPOPCNTDQ    | No_BITALG       |
    256 B  |      4.000  |      2.977  |      3.765  |      2.844  |      4.129  |      4.267 *| No_VPOPCNTDQ    | No_BITALG       |
    384 B  |      4.800  |      3.840  |      4.923  |      3.491  |      5.647 *|      4.465  | No_VPOPCNTDQ    | No_BITALG       |
    512 B  |      5.224  |      5.689  |      7.111 *|      4.000  |      6.919  |      5.953  | No_VPOPCNTDQ    | No_BITALG       |
    768 B  |      5.818  |      6.857  |      7.837  |      4.518  |      8.348 *|      8.348 *| No_VPOPCNTDQ    | No_BITALG       |
   1024 B  |      6.244  |      8.393  |     11.378  |      8.678  |     12.190  |     12.488 *| No_VPOPCNTDQ    | No_BITALG       |
   1536 B  |      6.796  |     10.105  |     14.222 *|      7.918  |     13.474  |     14.222 *| No_VPOPCNTDQ    | No_BITALG       |
   2048 B  |      6.966  |     10.894  |     12.337  |     14.423  |     19.692  |     20.480 *| No_VPOPCNTDQ    | No_BITALG       |
   3072 B  |      7.245  |     12.094  |     14.491  |     18.286  |     24.774 *|     24.774 *| No_VPOPCNTDQ    | No_BITALG       |
      4 KiB|      7.420  |     12.642  |     17.067  |     18.618  |     23.011  |     23.540 *| No_VPOPCNTDQ    | No_BITALG       |
      6 KiB|      7.604  |     13.593  |     20.078  |     19.692  |     26.256 *|     24.976  | No_VPOPCNTDQ    | No_BITALG       |
      8 KiB|      7.685  |     14.076  |     22.022  |     26.597  |     32.508 *|     32.252  | No_VPOPCNTDQ    | No_BITALG       |
     12 KiB|      7.767  |     14.288  |     24.285  |     32.681  |     38.642  |     38.886 *| No_VPOPCNTDQ    | No_BITALG       |
     16 KiB|      7.839  |     14.787  |     25.680  |     36.088  |     42.446 *|     42.446 *| No_VPOPCNTDQ    | No_BITALG       |
     24 KiB|      7.852  |     15.004  |     27.246  |     41.235  |     46.901 *|     46.545  | No_VPOPCNTDQ    | No_BITALG       |
     32 KiB|      7.888  |     14.963  |     28.055  |     43.691  |     49.498 *|     48.907  | No_VPOPCNTDQ    | No_BITALG       |
     48 KiB|      7.912  |     15.152  |     26.626  |     32.125  |     33.805 *|     33.256  | No_VPOPCNTDQ    | No_BITALG       |
     64 KiB|      7.926  |     15.199  |     27.059  |     29.101  |     30.855  |     31.297 *| No_VPOPCNTDQ    | No_BITALG       |
     96 KiB|      7.938  |     15.293  |     27.081  |     31.528  |     32.724  |     32.834 *| No_VPOPCNTDQ    | No_BITALG       |
    128 KiB|      7.944  |     15.305  |     27.295  |     30.173  |     32.141  |     32.347 *| No_VPOPCNTDQ    | No_BITALG       |
    192 KiB|      7.950  |     15.284  |     28.395  |     35.450  |     37.208  |     37.636 *| No_VPOPCNTDQ    | No_BITALG       |
    256 KiB|      7.947  |     15.314  |     28.581  |     36.541  |     38.303 *|     37.751  | No_VPOPCNTDQ    | No_BITALG       |
    384 KiB|      7.731  |     14.638  |     18.943 *|     17.898  |     18.183  |     18.156  | No_VPOPCNTDQ    | No_BITALG       |
    512 KiB|      7.723  |     14.437  |     18.466 *|     17.307  |     17.597  |     17.607  | No_VPOPCNTDQ    | No_BITALG       |
    768 KiB|      7.733  |     14.423  |     18.435 *|     17.299  |     17.599  |     17.624  | No_VPOPCNTDQ    | No_BITALG       |
   1024 KiB|      7.731  |     14.454  |     18.522 *|     17.264  |     17.610  |     17.582  | No_VPOPCNTDQ    | No_BITALG       |
   1536 KiB|      7.731  |     14.428  |     18.523 *|     17.295  |     17.610  |     17.551  | No_VPOPCNTDQ    | No_BITALG       |
   2048 KiB|      7.731  |     14.436  |     18.430 *|     17.280  |     17.597  |     17.546  | No_VPOPCNTDQ    | No_BITALG       |
   3072 KiB|      7.362  |     12.842  |     16.233 *|     15.344  |     15.850  |     15.798  | No_VPOPCNTDQ    | No_BITALG       |
      4 MiB|      6.411  |      8.991  |     11.154 *|     10.587  |     10.990  |     11.000  | No_VPOPCNTDQ    | No_BITALG       |
      6 MiB|      5.654  |      6.887  |      8.115  |      8.595  |      8.765  |      8.864 *| No_VPOPCNTDQ    | No_BITALG       |
      8 MiB|      5.466  |      6.209  |      7.150  |      7.793  |      7.906  |      7.949 *| No_VPOPCNTDQ    | No_BITALG       |
     12 MiB|      5.032  |      5.566  |      6.288  |      6.986  |      7.099 *|      7.062  | No_VPOPCNTDQ    | No_BITALG       |
     16 MiB|      4.981  |      5.472  |      6.093  |      6.826  |      6.786  |      6.861 *| No_VPOPCNTDQ    | No_BITALG       |
