  === Zero Test === 
      1 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
      1 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
      3 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
      7 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
     15 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
     31 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
     63 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
    127 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
    255 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
    511 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
   1023 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
   2047 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
   4095 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
      7 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
     15 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
     31 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
     63 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
    127 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
    255 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
    511 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
   1023 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
   2047 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
   4095 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
      7 MiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
  === Random Test === 
      1 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
      3 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
      7 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
     15 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
     31 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
     63 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
    127 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
    255 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
    511 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
   1023 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
   2047 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
   4095 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
      7 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
     15 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
     31 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
     63 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
    127 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
    255 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
    511 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
   1023 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
   2047 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
   4095 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |
      7 MiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   |VPopCntKNM   :OK   |VPopCntICL   :OK   |

  === Performance Test (total runtime in 1000 TSC clocks) === 
   Method: |HWPopCnt     |VPopCntHSW   |VPopCntSKXYMM|VPopCntKNL   |VPopCntSKX   |VPopCntCNL   |VPopCntKNM   |VPopCntICL   |
   RDTSCP  |           45|           72|           46|           54|           59|           62|           50|           46|
     64 B  |      0.056  |      0.078  |      0.068  |      0.078  |      0.066  |      0.072  |      0.054 *|      0.056  |
     96 B  |      0.061  |      0.080  |      0.071  |      0.078  |      0.078  |      0.078  |      0.058 *|      0.068  |
    128 B  |      0.066  |      0.087  |      0.072  |      0.093  |      0.078  |      0.072  |      0.064  |      0.062 *|
    192 B  |      0.073  |      0.096  |      0.084  |      0.100  |      0.076  |      0.080  |      0.068  |      0.066 *|
    256 B  |      0.084  |      0.101  |      0.088  |      0.110  |      0.080  |      0.080  |      0.070  |      0.066 *|
    384 B  |      0.101  |      0.115  |      0.099  |      0.138  |      0.088  |      0.105  |      0.070 *|      0.072  |
    512 B  |      0.121  |      0.109  |      0.088  |      0.158  |      0.098  |      0.109  |      0.070  |      0.066 *|
    768 B  |      0.162  |      0.137  |      0.117  |      0.204  |      0.115  |      0.109  |      0.073 *|      0.073 *|
   1024 B  |      0.199  |      0.146  |      0.110  |      0.145  |      0.104  |      0.100  |      0.080  |      0.076 *|
   1536 B  |      0.271  |      0.187  |      0.129  |      0.236  |      0.142  |      0.133  |      0.089  |      0.087 *|
   2048 B  |      0.345  |      0.226  |      0.195  |      0.175  |      0.129  |      0.127  |      0.101  |      0.097 *|
   3072 B  |      0.491  |      0.294  |      0.250  |      0.204  |      0.154  |      0.150  |      0.123  |      0.119 *|
      4 KiB|      0.641  |      0.373  |      0.288  |      0.263  |      0.207  |      0.209  |      0.142  |      0.138 *|
      6 KiB|      0.938  |      0.527  |      0.351  |      0.370  |      0.279  |      0.289  |      0.179 *|      0.183  |
      8 KiB|      1.230  |      0.676  |      0.427  |      0.366  |      0.302  |      0.312  |      0.225  |      0.217 *|
     12 KiB|      1.823  |      0.967  |      0.571  |      0.462  |      0.388  |      0.378  |      0.305  |      0.295 *|
     16 KiB|      2.412  |      1.238  |      0.698  |      0.554  |      0.470  |      0.464  |      0.386  |      0.376 *|
     24 KiB|      3.592  |      1.821  |      0.967  |      0.729  |      0.648  |      0.639  |      0.548  |      0.541 *|
     32 KiB|      4.772  |      2.401  |      1.252  |      0.912  |      0.807  |      0.811  |      0.707  |      0.702 *|
     48 KiB|      7.147  |      3.582  |      1.805  |      1.274  |      1.147  |      1.147  |      1.027 *|      1.027 *|
     64 KiB|      9.512  |      4.758  |      2.492  |      1.817  |      1.763  |      1.745  |      1.609 *|      1.615  |
     96 KiB|     14.233  |      7.147  |      3.711  |      2.642  |      2.560  |      2.589  |      2.349 *|      2.386  |
    128 KiB|     18.958  |      9.461  |      4.899  |      3.461  |      3.397  |      3.418  |      3.115 *|      3.138  |
    192 KiB|     28.419  |     14.171  |      7.256  |      5.119  |      5.021  |      5.054  |      4.701  |      4.641 *|
    256 KiB|     37.890  |     18.790  |      9.691  |      6.718  |      6.678  |      6.734  |      6.318 *|      6.324  |
    384 KiB|     56.823  |     28.243  |     14.461  |     10.064  |      9.966  |      9.968  |      9.733 *|      9.754  |
    512 KiB|     75.740  |     37.617  |     19.480  |     13.746  |     13.567  |     13.880  |     13.361  |     13.256 *|
    768 KiB|    113.778  |     60.561  |     46.227  |     45.952  |     45.466  |     45.415  |     45.072  |     44.965 *|
   1024 KiB|    151.545  |     81.484  |     62.751  |     62.683  |     61.686  |     61.872  |     61.105 *|     61.124  |
   1536 KiB|    227.238  |    122.200  |     94.175  |     93.617  |     92.596  |     92.771  |     91.615 *|     91.650  |
   2048 KiB|    302.942  |    162.913  |    125.003  |    124.832  |    123.463  |    123.644  |    122.203  |    122.199 *|
   3072 KiB|    454.428  |    244.308  |    188.036  |    187.028  |    185.045  |    185.350  |    183.210 *|    183.224  |
      4 MiB|    605.986  |    325.693  |    250.312  |    250.000  |    247.004  |    247.059  |    244.198 *|    244.436  |
      6 MiB|    933.383  |    532.263  |    406.421  |    405.815  |    394.653  |    390.403  |    381.937 *|    383.201  |
      8 MiB|   1363.764  |    976.392  |    696.721  |    642.537  |    634.647  |    627.751  |    611.247  |    608.212 *|
     12 MiB|   2240.915  |   1717.092  |   1366.381  |   1262.691  |   1240.857 *|   1302.125  |   1287.829  |   1514.469  |
     16 MiB|   3477.032  |   2655.966  |   2438.233  |   2142.389  |   2045.956  |   1918.713  |   1843.035  |   1771.210 *|
     24 MiB|   4426.768  |   3616.507  |   3132.987  |   3003.424  |   2977.681  |   2953.751  |   2921.736  |   2892.632 *|
     32 MiB|   5907.752  |   4900.311  |   4295.317  |   4149.220  |   4119.172  |   4117.455  |   4024.685  |   4000.634 *|
     48 MiB|   8937.981  |   7619.678  |   6743.069  |   6538.051  |   6557.526  |   6488.565  |   6261.647 *|   6301.135  |
     64 MiB|  11889.117  |  10382.040  |   9260.792  |   8880.429  |   8818.405  |   8836.727  |   8578.924 *|   8634.085  |
     96 MiB|  17969.808  |  15604.220  |  13928.996  |  13473.435  |  13563.227  |  13524.945  |  13117.822 *|  13145.873  |
    128 MiB|  23954.315  |  20960.072  |  18672.475  |  18057.472  |  18177.966  |  18198.865  |  17718.892  |  17625.019 *|
    192 MiB|  36047.900  |  31437.372  |  28289.726  |  27444.773  |  27613.589  |  27641.872  |  26722.671  |  26710.135 *|
    256 MiB|  48017.672  |  42126.146  |  37757.070  |  36525.388  |  36759.482  |  36701.544  |  35866.394  |  35770.215 *|
  === Performance Test (in bytes per TSC clks) === 
   Method: |HWPopCnt     |VPopCntHSW   |VPopCntSKXYMM|VPopCntKNL   |VPopCntSKX   |VPopCntCNL   |VPopCntKNM   |VPopCntICL   |
   RDTSCP  |           45|           72|           46|           54|           59|           62|           50|           46|
     64 B  |      1.143  |      0.821  |      0.941  |      0.821  |      0.970  |      0.889  |      1.185 *|      1.143  |
     96 B  |      1.574  |      1.200  |      1.352  |      1.231  |      1.231  |      1.231  |      1.655 *|      1.412  |
    128 B  |      1.939  |      1.471  |      1.778  |      1.376  |      1.641  |      1.778  |      2.000  |      2.065 *|
    192 B  |      2.630  |      2.000  |      2.286  |      1.920  |      2.526  |      2.400  |      2.824  |      2.909 *|
    256 B  |      3.048  |      2.535  |      2.909  |      2.327  |      3.200  |      3.200  |      3.657  |      3.879 *|
    384 B  |      3.802  |      3.339  |      3.879  |      2.783  |      4.364  |      3.657  |      5.486 *|      5.333  |
    512 B  |      4.231  |      4.697  |      5.818  |      3.241  |      5.224  |      4.697  |      7.314  |      7.758 *|
    768 B  |      4.741  |      5.606  |      6.564  |      3.765  |      6.678  |      7.046  |     10.521 *|     10.521 *|
   1024 B  |      5.146  |      7.014  |      9.309  |      7.062  |      9.846  |     10.240  |     12.800  |     13.474 *|
   1536 B  |      5.668  |      8.214  |     11.907  |      6.508  |     10.817  |     11.549  |     17.258  |     17.655 *|
   2048 B  |      5.936  |      9.062  |     10.503  |     11.703  |     15.876  |     16.126  |     20.277  |     21.113 *|
   3072 B  |      6.257  |     10.449  |     12.288  |     15.059  |     19.948  |     20.480  |     24.976  |     25.815 *|
      4 KiB|      6.390  |     10.981  |     14.222  |     15.574  |     19.787  |     19.598  |     28.845  |     29.681 *|
      6 KiB|      6.550  |     11.658  |     17.504  |     16.605  |     22.022  |     21.260  |     34.324 *|     33.574  |
      8 KiB|      6.660  |     12.118  |     19.185  |     22.383  |     27.126  |     26.256  |     36.409  |     37.751 *|
     12 KiB|      6.741  |     12.707  |     21.520  |     26.597  |     31.670  |     32.508  |     40.289  |     41.654 *|
     16 KiB|      6.793  |     13.234  |     23.473  |     29.574  |     34.860  |     35.310  |     42.446  |     43.574 *|
     24 KiB|      6.842  |     13.496  |     25.415  |     33.712  |     37.926  |     38.460  |     44.847  |     45.427 *|
     32 KiB|      6.867  |     13.648  |     26.173  |     35.930  |     40.605  |     40.404  |     46.348  |     46.678 *|
     48 KiB|      6.877  |     13.722  |     27.231  |     38.581  |     42.853  |     42.853  |     47.860 *|     47.860 *|
     64 KiB|      6.890  |     13.774  |     26.299  |     36.068  |     37.173  |     37.556  |     40.731 *|     40.580  |
     96 KiB|      6.907  |     13.755  |     26.490  |     37.208  |     38.400  |     37.970  |     41.849 *|     41.200  |
    128 KiB|      6.914  |     13.854  |     26.755  |     37.871  |     38.585  |     38.348  |     42.078 *|     41.769  |
    192 KiB|      6.918  |     13.874  |     27.096  |     38.408  |     39.157  |     38.901  |     41.823  |     42.363 *|
    256 KiB|      6.919  |     13.951  |     27.050  |     39.021  |     39.255  |     38.928  |     41.492 *|     41.452  |
    384 KiB|      6.920  |     13.923  |     27.191  |     39.072  |     39.456  |     39.448  |     40.400 *|     40.313  |
    512 KiB|      6.922  |     13.938  |     26.914  |     38.141  |     38.644  |     37.773  |     39.240  |     39.551 *|
    768 KiB|      6.912  |     12.986  |     17.012  |     17.114  |     17.297  |     17.317  |     17.448  |     17.490 *|
   1024 KiB|      6.919  |     12.868  |     16.710  |     16.728  |     16.999  |     16.948  |     17.160 *|     17.155  |
   1536 KiB|      6.922  |     12.871  |     16.702  |     16.801  |     16.986  |     16.954  |     17.168 *|     17.162  |
   2048 KiB|      6.923  |     12.873  |     16.777  |     16.800  |     16.986  |     16.961  |     17.161  |     17.162 *|
   3072 KiB|      6.922  |     12.876  |     16.729  |     16.820  |     17.000  |     16.972  |     17.170 *|     17.169  |
      4 MiB|      6.921  |     12.878  |     16.756  |     16.777  |     16.981  |     16.977  |     17.176 *|     17.159  |
      6 MiB|      6.740  |     11.820  |     15.480  |     15.503  |     15.942  |     16.115  |     16.472 *|     16.418  |
      8 MiB|      6.151  |      8.591  |     12.040  |     13.055  |     13.218  |     13.363  |     13.724  |     13.792 *|
     12 MiB|      5.615  |      7.328  |      9.209  |      9.965  |     10.141 *|      9.663  |      9.771  |      8.308  |
     16 MiB|      4.825  |      6.317  |      6.881  |      7.831  |      8.200  |      8.744  |      9.103  |      9.472 *|
     24 MiB|      5.685  |      6.959  |      8.033  |      8.379  |      8.451  |      8.520  |      8.613  |      8.700 *|
     32 MiB|      5.680  |      6.847  |      7.812  |      8.087  |      8.146  |      8.149  |      8.337  |      8.387 *|
     48 MiB|      5.631  |      6.605  |      7.464  |      7.698  |      7.675  |      7.757  |      8.038 *|      7.988  |
     64 MiB|      5.645  |      6.464  |      7.247  |      7.557  |      7.610  |      7.594  |      7.823 *|      7.773  |
     96 MiB|      5.602  |      6.451  |      7.227  |      7.471  |      7.422  |      7.443  |      7.674 *|      7.657  |
    128 MiB|      5.603  |      6.403  |      7.188  |      7.433  |      7.384  |      7.375  |      7.575  |      7.615 *|
    192 MiB|      5.585  |      6.404  |      7.117  |      7.336  |      7.291  |      7.283  |      7.534  |      7.537 *|
    256 MiB|      5.590  |      6.372  |      7.110  |      7.349  |      7.302  |      7.314  |      7.484  |      7.504 *|
  === Performance Test (in bytes per corrected TSC clks) === 
