  === Zero Test === 
      1 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
   4095 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
      7 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
     15 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
     31 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
     63 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
    127 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
    255 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
    511 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
   1023 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
   2047 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
   4095 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
      7 MiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
  === Full Test === 
      1 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
      3 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
      7 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
     15 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
     31 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
     63 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
    127 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
    255 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
    511 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
   1023 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
   2047 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
   4095 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
      7 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
     15 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
     31 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
     63 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
    127 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
    255 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
    511 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
   1023 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
   2047 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
   4095 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
      7 MiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
  === Random Test === 
      1 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
      3 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
      7 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
     15 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
     31 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
     63 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
    127 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
    255 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
    511 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
   1023 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
   2047 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
   4095 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
      7 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
     15 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
     31 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
     63 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
    127 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
    255 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
    511 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
   1023 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
   2047 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
   4095 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
      7 MiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |

  === Performance Test (total runtime in 1000 TSC clocks) === 
   Method: |HWPopCnt     |VPopCntHSW   |VPopCntSKXYMM|VPopCntKNL   |VPopCntSKX   | No_VPopCntCNL   | No_VPopCntKNM   | No_VPopCntICL   |
   RDTSCP  |           36|           58|           40|           46|           40| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
     64 B  |      0.048 *|      0.064  |      0.052  |      0.064  |      0.052  | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
     96 B  |      0.054 *|      0.066  |      0.054 *|      0.066  |      0.058  | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
    128 B  |      0.054 *|      0.072  |      0.054 *|      0.076  |      0.058  | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
    192 B  |      0.076  |      0.078  |      0.060 *|      0.088  |      0.060 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
    256 B  |      0.084  |      0.084  |      0.068  |      0.092  |      0.062 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
    384 B  |      0.080  |      0.098  |      0.080  |      0.116  |      0.072 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
    512 B  |      0.098  |      0.088  |      0.072 *|      0.136  |      0.078  | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
    768 B  |      0.130  |      0.114  |      0.098  |      0.174  |      0.094 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
   1024 B  |      0.162  |      0.124  |      0.090  |      0.118  |      0.084 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
   1536 B  |      0.232  |      0.158  |      0.114 *|      0.194  |      0.114 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
   2048 B  |      0.294  |      0.192  |      0.168  |      0.148  |      0.104 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
   3072 B  |      0.428  |      0.266  |      0.214  |      0.168  |      0.134 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
      4 KiB|      0.554  |      0.326  |      0.256  |      0.222  |      0.174 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
      6 KiB|      0.814  |      0.458  |      0.310  |      0.314  |      0.230 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
      8 KiB|      1.068  |      0.580  |      0.372  |      0.322  |      0.264 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
     12 KiB|      1.580  |      0.854  |      0.502  |      0.380  |      0.328 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
     16 KiB|      2.100  |      1.114  |      0.636  |      0.450  |      0.386 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
     24 KiB|      3.132  |      1.636  |      0.904  |      0.598  |      0.524 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
     32 KiB|      4.160  |      2.178  |      1.174  |      0.756  |      0.668 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
     48 KiB|      6.224  |      3.396  |      1.950  |      1.678  |      1.614 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
     64 KiB|      8.286  |      4.476  |      2.570  |      2.146  |      2.142 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
     96 KiB|     12.440  |      6.694  |      3.782  |      3.152  |      3.080 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
    128 KiB|     16.564  |      8.884  |      4.964  |      3.912  |      3.812 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
    192 KiB|     24.790  |     13.240  |      7.310  |      5.610  |      5.500 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
    256 KiB|     33.026  |     17.614  |      9.570  |      6.954  |      6.828 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
    384 KiB|     49.518  |     26.314  |     14.118  |      9.612  |      9.516 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
    512 KiB|     66.018  |     35.042  |     18.676  |     12.600  |     12.494 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
    768 KiB|     99.036  |     52.326  |     27.400  |     16.998  |     16.910 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
   1024 KiB|    132.034  |     70.514  |     37.620  |     23.622  |     23.368 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
   1536 KiB|    258.266  |    245.182 *|    250.818  |    249.360  |    248.860  | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
   2048 KiB|    351.232  |    352.918  |    352.214  |    350.432  |    349.518 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
   3072 KiB|    526.632  |    527.346  |    528.186  |    526.250  |    525.504 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
      4 MiB|    702.920  |    706.172  |    704.636  |    701.598  |    700.966 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
      6 MiB|   1055.760  |   1058.554  |   1056.512  |   1052.476  |   1051.786 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
      8 MiB|   1415.294  |   1417.064  |   1413.686  |   1406.740  |   1405.110 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
     12 MiB|   2290.330  |   2176.612  |   2145.458  |   2102.838  |   2097.154 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
     16 MiB|   3453.662  |   3071.436  |   2861.214  |   2756.314  |   2732.474 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
     24 MiB|   5900.448  |   5169.550  |   4834.532  |   4612.498  |   4608.054 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
     32 MiB|   8393.654  |   7319.842  |   6811.734  |   6482.350 *|   6506.514  | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
     48 MiB|  13188.146  |  11616.628  |  10881.386  |  10349.788 *|  10408.058  | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
     64 MiB|  17920.028  |  15995.202  |  15001.368  |  14300.102 *|  14376.392  | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
     96 MiB|  27381.098  |  24662.610  |  23265.330  |  22129.914 *|  22281.576  | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
    128 MiB|  36941.810  |  33313.442  |  31512.686  |  30009.042 *|  30280.722  | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
    192 MiB|  56064.566  |  50681.132  |  48049.888  |  45956.922 *|  46322.430  | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
    256 MiB|  74978.346  |  67957.546  |  64582.908  |  61604.996 *|  62187.686  | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
  === Performance Test (in bytes per TSC clks) === 
   Method: |HWPopCnt     |VPopCntHSW   |VPopCntSKXYMM|VPopCntKNL   |VPopCntSKX   | No_VPopCntCNL   | No_VPopCntKNM   | No_VPopCntICL   |
   RDTSCP  |           36|           58|           40|           46|           40| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
     64 B  |      1.333 *|      1.000  |      1.231  |      1.000  |      1.231  | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
     96 B  |      1.778 *|      1.455  |      1.778 *|      1.455  |      1.655  | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
    128 B  |      2.370 *|      1.778  |      2.370 *|      1.684  |      2.207  | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
    192 B  |      2.526  |      2.462  |      3.200 *|      2.182  |      3.200 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
    256 B  |      3.048  |      3.048  |      3.765  |      2.783  |      4.129 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
    384 B  |      4.800  |      3.918  |      4.800  |      3.310  |      5.333 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
    512 B  |      5.224  |      5.818  |      7.111 *|      3.765  |      6.564  | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
    768 B  |      5.908  |      6.737  |      7.837  |      4.414  |      8.170 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
   1024 B  |      6.321  |      8.258  |     11.378  |      8.678  |     12.190 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
   1536 B  |      6.621  |      9.722  |     13.474 *|      7.918  |     13.474 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
   2048 B  |      6.966  |     10.667  |     12.190  |     13.838  |     19.692 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
   3072 B  |      7.178  |     11.549  |     14.355  |     18.286  |     22.925 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
      4 KiB|      7.394  |     12.564  |     16.000  |     18.450  |     23.540 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
      6 KiB|      7.548  |     13.415  |     19.819  |     19.567  |     26.713 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
      8 KiB|      7.670  |     14.124  |     22.022  |     25.441  |     31.030 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
     12 KiB|      7.777  |     14.389  |     24.478  |     32.337  |     37.463 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
     16 KiB|      7.802  |     14.707  |     25.761  |     36.409  |     42.446 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
     24 KiB|      7.847  |     15.022  |     27.186  |     41.097  |     46.901 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
     32 KiB|      7.877  |     15.045  |     27.911  |     43.344  |     49.054 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
     48 KiB|      7.897  |     14.473  |     25.206  |     29.292  |     30.454 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
     64 KiB|      7.909  |     14.642  |     25.500  |     30.539  |     30.596 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
     96 KiB|      7.902  |     14.685  |     25.993  |     31.188  |     31.917 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
    128 KiB|      7.913  |     14.754  |     26.405  |     33.505  |     34.384 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
    192 KiB|      7.931  |     14.850  |     26.896  |     35.046  |     35.747 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
    256 KiB|      7.938  |     14.883  |     27.392  |     37.697  |     38.393 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
    384 KiB|      7.941  |     14.943  |     27.852  |     40.909  |     41.322 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
    512 KiB|      7.942  |     14.962  |     28.073  |     41.610  |     41.963 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
    768 KiB|      7.941  |     15.029  |     28.702  |     46.266  |     46.507 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
   1024 KiB|      7.942  |     14.870  |     27.873  |     44.390  |     44.872 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
   1536 KiB|      6.090  |      6.415 *|      6.271  |      6.308  |      6.320  | No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
   2048 KiB|      5.971  |      5.942  |      5.954  |      5.984  |      6.000 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
   3072 KiB|      5.973  |      5.965  |      5.956  |      5.978  |      5.986 *| No_AVX512VBMI   | No_VPOPCNTDQ    | No_BITALG       |
